caseid,1,2,3,4,5
1479275,partnered,partnered,,,
1480621,married,married,married,married,married
1482336,married,married,married,married,married
1484521,married,married,married,married,married
1485791,married,,married,married,married
1488486,partnered,partnered,,partnered,partnered
1490563,partnered,partnered,,,
1491391,married,married,married,married,married
1492642,partnered,partnered,partnered,partnered,partnered
1493501,married,married,married,married,married
1494381,married,married,married,married,married
1495643,partnered,partnered,,,
1496621,married,,married,married,married
1497641,married,married,married,married,married
1498471,married,married,married,married,married
1500551,married,married,,married,married
1505246,partnered,partnered,partnered,partnered,partnered
1507475,partnered,partnered,,,
1509726,partnered,partnered,,,
1511571,married,married,married,married,married
1512761,married,married,,married,married
1513511,married,married,married,married,married
1514561,married,married,married,married,married
1515601,married,married,married,married,married
1516441,married,married,married,married,married
1518501,married,married,married,married,married
1519266,partnered,partnered,,,
1520271,married,married,married,married,married
1521461,married,married,married,married,married
1522341,married,married,married,married,married
1523526,partnered,partnered,partnered,partnered,partnered
1524351,married,married,married,married,married
1525665,partnered,partnered,partnered,partnered,partnered
1527295,partnered,partnered,,married,married
1529205,partnered,partnered,,,
1530311,married,married,married,married,married
1531821,married,married,,married,married
1532631,married,married,married,married,married
1534361,married,married,,married,married
